# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
      597,  38500.00,     64.49,      1.22,      2.62,      0.11,      1.70,           2,           0,           2,           2,           0,           0,          27,           2,           0,
      438,  35920.00,     82.01,      1.27,      2.45,      0.12,      1.70,           2,           0,           2,           2,           0,           0,          20,           2,           0,
      111,  16150.00,    145.50,      1.54,      3.39,      0.23,      1.70,           2,           0,           2,           2,           0,           0,          38,           4,           0,
       48,   5340.00,    111.25,      2.09,      3.36,      0.50,      1.70,           2,           0,           1,           1,           0,           0,          50,           4,           0,
      518,  35300.00,     68.15,      1.24,      3.56,      0.11,      1.70,           2,           0,           3,           2,           0,           0,          31,           1,           0,
      799,  39930.00,     49.97,      1.18,      3.01,      0.09,      1.70,           2,           0,           1,           2,           0,           0,           1,           3,           0,
      418,  25170.00,     60.22,      1.28,      4.69,      0.13,      1.69,           2,           0,           6,           2,           0,           0,          17,           1,           0,
      584,  37710.00,     64.57,      1.23,      2.27,      0.10,      1.69,           2,           0,           1,           2,           0,           0,          24,           2,           0,
      350,  29290.00,     83.69,      1.30,      3.41,      0.14,      1.68,           2,           0,           3,           2,           0,           0,          37,           1,           0,
       57,   5250.00,     92.11,      1.74,      3.60,      0.34,      1.67,           2,           0,           8,           1,           0,           0,           7,           3,           0,
      515,  34440.00,     66.87,      1.24,      3.29,      0.11,      1.67,           2,           0,           3,           2,           0,           0,          31,           2,           0,
       92,   9050.00,     98.37,      1.63,      3.85,      0.32,      1.67,           2,           0,           4,           1,           0,           0,          26,           3,           0,
       63,  11850.00,    188.10,      1.95,      3.75,      0.38,      1.66,           2,           0,           6,           2,           0,           0,          18,           5,           0,
      356,  25200.00,     70.79,      1.28,      2.99,      0.14,      1.65,           2,           0,           1,           1,           0,           0,          20,           1,           0,
       39,   5300.00,    135.90,      1.96,      4.34,      0.47,      1.65,           2,           0,           8,           1,           0,           0,          21,           3,           0,
       58,   4210.00,     72.59,      1.80,      3.21,      0.37,      1.65,           2,           0,           6,           1,           0,           0,          10,           4,           0,
      112,   8090.00,     72.23,      1.55,      1.92,      0.28,      1.65,           2,           0,           7,           1,           0,           0,          10,           3,           0,
      100,  14540.00,    145.40,      1.56,      2.94,      0.22,      1.64,           2,           0,           2,           2,           0,           0,          38,           5,           0,
      253,  17990.00,     71.11,      1.33,      2.56,      0.15,      1.64,           2,           0,           4,           2,           0,           0,          31,           1,           0,
      575,  34960.00,     60.80,      1.22,      2.60,      0.10,      1.63,           2,           0,           3,           2,           0,           0,          27,           1,           0,
       49,   4990.00,    101.84,      1.91,      3.37,      0.43,      1.62,           2,           0,           6,           1,           0,           0,          26,           4,           0,
      368,  21550.00,     58.56,      1.29,      4.45,      0.13,      1.62,           2,           0,           6,           1,           0,           0,          17,           1,           0,
       30,   4600.00,    153.33,      2.50,      5.97,      0.80,      1.62,           2,           0,           4,           2,           0,           0,          38,           3,           0,
       57,   5570.00,     97.72,      1.84,      2.67,      0.44,      1.62,           2,           0,           5,           1,           0,           0,          25,           4,           0,
      139,  13890.00,     99.93,      1.42,      2.27,      0.20,      1.62,           2,           0,           5,           2,           0,           0,          39,           5,           0,
       31,   3790.00,    122.26,      2.20,      3.48,      0.46,      1.61,           2,           0,           3,           1,           0,           0,          35,           4,           0,
